Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,Latnecy
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",50
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","minno50",51
